accountID,region,partnerInvolved
j58sge,North America,No
jbsvvx,Africa,Yes
529e88,EMEA,Yes
e59oet,EMEA,Yes
nw022j,EMEA,No
3oy2wf,APAC,Yes
z5g21z,North America,No
kofsjn,North America,No
0w3ynj,APAC,No
8jv53m,EMEA,No
ff0eo1,North America,No
kt2n1f,APAC,No
mvrv7b,EMEA,No
t7w9ze,North America,No
r0ggk2,North America,No
ta2z0d,APAC,No
akqkq7,North America,No
cl0t5q,EMEA,No
ekzk2g,EMEA,No
g8rycf,APAC,No
rpuw96,APAC,No
9wk5w7,Africa,No
nb8xvb,EMEA,Yes
pwb2ac,EMEA,No
pjyno2,North America,No
r41e5f,EMEA,No
qt0q6y,North America,Yes
la70oj,EMEA,Yes
wkc9pi,EMEA,No
mjcqul,North America,Yes
sp7j0z,North America,No
88itdy,North America,No
x6wght,EMEA,Yes
vsdlun,APAC,No
8ay9ra,North America,Yes
e0n181,EMEA,No
qgzii1,APAC,No
6xa4us,APAC,No
vgb3sc,North America,No
9frf77,North America,No
5gecpl,Africa,No
5e4zwc,North America,No
ro3guq,EMEA,No
sr30q5,North America,No
bu7ii5,APAC,Yes
bywi3b,EMEA,Yes
8s1bvg,EMEA,No
jo8spk,EMEA,No
i6iwy5,North America,No
61lyvk,APAC,Yes
8sz0px,North America,Yes
j85p01,EMEA,No
q8d3e7,Latin America,No
891a7r,APAC,Yes
92jr77,APAC,Yes
4twiby,North America,No
amh7ni,North America,No
85631m,APAC,No
9ud75n,EMEA,No
jn7lqr,EMEA,No
fzextp,North America,No
45mmcv,North America,No
8f32e2,APAC,No
wzngn6,North America,Yes
u2jmeg,North America,No
e5j2f6,North America,No
4oq6hw,EMEA,No
94joti,EMEA,No
pqpq9r,Latin America,Yes
difynb,Latin America,Yes
53wn8s,EMEA,No
vb8nzk,EMEA,No
4da77p,EMEA,No
dovb1b,Latin America,No
pgvecl,EMEA,Yes
lg3r25,North America,No
ta2zpc,North America,Yes
0hrfc7,EMEA,No
mhw29y,EMEA,No
2qjkzq,APAC,Yes
htg018,EMEA,No
2krbeo,APAC,No
tqfpuy,North America,No
5qfena,North America,No
053lno,North America,No
jtjy3y,EMEA,Yes
lc4gm7,EMEA,No
iuzh56,North America,Yes
r8zkcb,APAC,No
h77i1w,APAC,No
976s1l,EMEA,Yes
1obus8,Latin America,Yes
xc09ie,North America,No
k3x1d5,EMEA,Yes
tt01lc,North America,No
xsbfyz,North America,No
xykvb4,APAC,Yes
ohe518,North America,No
5cjgdn,North America,No
1x9zmw,North America,No
e6y7kj,North America,No
r0ofdq,EMEA,No
dh55f1,EMEA,No
e2lis1,EMEA,Yes
2vmb4c,North America,No
8kawm6,EMEA,No
olip7g,North America,Yes
muunni,APAC,Yes
q5vmyn,North America,No
5y8tp9,EMEA,No
3lbivw,Africa,Yes
1uut3k,North America,No
ykp24j,EMEA,No
w1mdca,EMEA,No
m8dgpy,North America,Yes
0nrmbg,EMEA,No
927zu5,North America,No
zipci2,North America,Yes
eso9ak,North America,No
a8zauf,Africa,Yes
phbden,EMEA,No
inx4t3,EMEA,No
jets43,EMEA,No
cxy7fm,APAC,No
hr0jfk,North America,No
8nwlk4,APAC,No
hfedq8,North America,No
2alnwc,North America,No
04a3fw,North America,No
d03dzi,APAC,No
n66fwu,EMEA,No
yftfic,North America,Yes
